NCD 1 inch PE,,Neutron source surface area(m^2):,2.936760813,,,,NCD 2 inch PE,,,,,,,NCD 3 inch PE,,,,,,,NCD bare,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty
1.00E-10,10447,750001,0.040907066,0.000400223,,,1.00E-10,10111,2400001,0.012372323,0.000123042,,,1.00E-10,10065,8100001,0.003649197,3.63739E-05,,,1.00E-10,10356,72001,0.42239823,0.004150745
1.00E-09,10031,640002,0.046028993,0.000459578,,,1.00E-09,10671,2200002,0.014244612,0.000137895,,,1.00E-09,10130,7300002,0.004075257,4.04902E-05,,,1.00E-09,12861,65002,0.581054134,0.005123647
1.00E-08,10515,480003,0.064333014,0.000627378,,,1.00E-08,10014,1500003,0.019605776,0.000195921,,,1.00E-08,10205,5200003,0.00576339,5.70521E-05,,,1.00E-08,10933,50003,0.642113593,0.006141044
1.00E-07,10627,240004,0.130035154,0.001261408,,,1.00E-07,100939,7500004,0.039524472,0.000124405,,,1.00E-07,10587,2700004,0.011515348,0.000111916,,,1.00E-07,11089,51004,0.638493856,0.006063321
1.00E-06,10695,140005,0.224339537,0.002169279,,,1.00E-06,10329,420005,0.072222479,0.00071063,,,1.00E-06,10187,1400005,0.021369054,0.00021172,,,1.00E-06,10363,60005,0.507185273,0.004982231
1.00E-05,10378,110006,0.277054922,0.002719625,,,1.00E-05,10133,300006,0.099192007,0.000985389,,,1.00E-05,10251,1000006,0.030104554,0.000297337,,,1.00E-05,10973,120006,0.268528877,0.00256347
1.00E-04,10075,100007,0.295857942,0.002947547,,,1.00E-04,10411,250007,0.122295043,0.001198568,,,1.00E-04,10329,800007,0.037916921,0.000373082,,,1.00E-04,10455,300007,0.102343726,0.00100092
1.00E-03,10482,110008,0.279826257,0.002733168,,,1.00E-03,10271,220008,0.137101698,0.001352809,,,1.00E-03,10691,700008,0.044852216,0.000433785,,,1.00E-03,10798,900008,0.03523429,0.000339074
1.00E-02,10557,120009,0.258342157,0.002514346,,,1.00E-02,10217,200009,0.150017675,0.00148416,,,1.00E-02,6916,400009,0.050775452,0.000610557,,,1.00E-02,10493,3000009,0.01027178,0.000100276
0.1,10746,130010,0.242738495,0.002341614,,,0.1,10365,170010,0.179045502,0.001758647,,,0.1,10416,420010,0.072829934,0.000713608,,,0.1,10476,12000010,0.00256379,2.50487E-05
5.00E-01,10715,150011,0.209767231,0.002026476,,,5.00E-01,11148,140011,0.233831696,0.002214649,,,5.00E-01,12883,300011,0.126109674,0.001111066,,,5.00E-01,11365,25000011,0.001335051,1.25231E-05
1.00E+00,10514,180012,0.171528027,0.001672827,,,1.00E+00,10667,130012,0.240950278,0.002332955,,,1.00E+00,14299,250012,0.167962909,0.001404626,,,1.00E+00,11957,30000012,0.001170494,1.07043E-05
1.50E+00,9996,200013,0.146769765,0.001467991,,,1.50E+00,10813,130013,0.244246304,0.002348848,,,1.50E+00,15064,230013,0.192334194,0.001567063,,,1.50E+00,13040,32000013,0.00119673,1.04799E-05
2.00E+00,10190,240014,0.124682696,0.001235148,,,2.00E+00,11265,140014,0.236280733,0.002226192,,,2.00E+00,15105,220014,0.201622497,0.001640509,,,2.00E+00,14219,36000014,0.001159938,9.72748E-06
2.50E+00,10354,280015,0.108591402,0.001067189,,,2.50E+00,10724,140015,0.224931778,0.002172063,,,2.50E+00,13889,200015,0.20392806,0.00173038,,,2.50E+00,12679,37000015,0.001006356,8.93736E-06
3.00E+00,10247,310016,0.097069145,0.000958921,,,3.00E+00,10257,140016,0.215135096,0.002124228,,,3.00E+00,18107,250016,0.2126901,0.001580607,,,3.00E+00,11938,40000016,0.000876476,8.02184E-06
3.50E+00,10188,350017,0.08548076,0.000846884,,,3.50E+00,10386,160017,0.190612234,0.001870366,,,3.50E+00,15544,240017,0.190190737,0.001525485,,,3.50E+00,11516,45000017,0.000751549,7.00336E-06
4.00E+00,10360,380018,0.080061581,0.000786583,,,4.00E+00,10301,160018,0.189051064,0.001862685,,,4.00E+00,15205,230018,0.194130234,0.001574345,,,4.00E+00,10975,48000018,0.000671478,6.40958E-06
4.50E+00,10019,410019,0.071761081,0.00071693,,,4.50E+00,10721,170019,0.18518526,0.001788499,,,4.50E+00,13709,200019,0.201281148,0.001719096,,,4.50E+00,10320,52000019,0.000582834,5.73727E-06
5.00E+00,10430,450020,0.068064564,0.000666467,,,5.00E+00,10707,180020,0.174668915,0.001688036,,,5.00E+00,13872,200020,0.203673363,0.001729278,,,5.00E+00,10217,56000020,0.000535801,5.30081E-06
5.50E+00,10073,470021,0.062937596,0.000627091,,,5.50E+00,10293,180021,0.167914183,0.00165507,,,5.50E+00,13606,200021,0.199766863,0.001712609,,,5.50E+00,10376,64000021,0.000476122,4.67416E-06
6.00E+00,10147,510022,0.058427503,0.000580027,,,6.00E+00,10542,190022,0.16292499,0.001586815,,,6.00E+00,13159,200022,0.193202925,0.001684233,,,6.00E+00,9547,66000022,0.000424807,4.34768E-06
6.50E+00,9758,530023,0.054067299,0.000547336,,,6.50E+00,10108,190023,0.156216765,0.0015538,,,6.50E+00,13089,200023,0.192174211,0.001679739,,,6.50E+00,9018,68000023,0.000389466,4.10123E-06
7.00E+00,10070,600024,0.049286664,0.000491151,,,7.00E+00,10530,210024,0.14724075,0.001434874,,,7.00E+00,12587,200024,0.184802865,0.001647205,,,7.00E+00,8679,70000024,0.000364116,3.90846E-06
7.50E+00,10146,640025,0.046555018,0.000462188,,,7.50E+00,9555,200025,0.140286212,0.001435158,,,7.50E+00,10056,170025,0.173692497,0.001732082,,,7.50E+00,10551,92000025,0.000336802,3.27889E-06
8.00E+00,11044,740026,0.043827631,0.000417047,,,8.00E+00,9482,215026,0.129502321,0.001329926,,,8.00E+00,10074,180026,0.164336976,0.001637323,,,8.00E+00,10545,96000026,0.000322585,3.14138E-06
8.50E+00,10485,780027,0.039475476,0.000385517,,,8.50E+00,9680,220027,0.129201619,0.001313198,,,8.50E+00,9984,180027,0.162867903,0.001629984,,,8.50E+00,10086,98000027,0.000302247,3.00955E-06
9.00E+00,12547,1000028,0.036846506,0.000328947,,,9.00E+00,9603,240029,0.117492945,0.00119897,,,9.00E+00,10202,192028,0.156023256,0.001544709,,,9.00E+00,9564,100000028,0.000280872,2.87203E-06
9.50E+00,11841,1000029,0.034773176,0.000319558,,,9.50E+00,10222,270029,0.111171648,0.001099578,,,9.50E+00,10201,200029,0.149767769,0.001482849,,,9.50E+00,10302,114000029,0.00026539,2.61472E-06
1.00E+01,11427,1000030,0.033557359,0.000313922,,,1.00E+01,10303,280030,0.108050733,0.0010645,,,1.00E+01,10333,200030,0.151704992,0.001492405,,,1.00E+01,10696,125000030,0.000251293,2.42979E-06
1.05E+01,11139,1000031,0.032711565,0.00030994,,,1.05E+01,10747,290031,0.108820672,0.001049706,,,1.05E+01,10741,210031,0.150186153,0.001449131,,,1.05E+01,10253,126000031,0.000238973,2.36006E-06
1.10E+01,12314,1100032,0.032874746,0.000296253,,,1.10E+01,11066,300032,0.108315764,0.001029666,,,1.10E+01,10301,210032,0.144033162,0.001419132,,,1.10E+01,9759,128000032,0.000223905,2.26653E-06
